frame_idx,label
0,normal
25,normal
50,normal
75,normal
100,normal
125,normal
150,normal
175,normal
200,normal
225,normal
250,normal
275,normal
300,normal
325,normal
350,normal
375,normal
400,normal
425,normal
450,normal
475,suspicious
500,suspicious
525,suspicious
550,suspicious
575,suspicious
600,suspicious
625,suspicious
650,suspicious
675,suspicious
700,suspicious
725,suspicious
750,suspicious
775,suspicious
800,normal
825,normal
850,normal
875,normal
900,normal
925,normal
950,normal
975,normal
1000,normal
